bearing_deg,distance_cm,all_readings_cm
-34,300.0,300.0
-16,300.0,300.0
-14,298.9,298.4 298.9 300.0
-12,295.9,296.3 295.9 67.7
-10,296.7,296.7 161.5 296.2 300.0
-8,297.1,296.6 297.1 297.1
-6,297.0,296.1 295.7 300.0 297.0
-4,297.5,297.9 91.8 296.1 297.5
-2,289.1,288.7 288.8 289.6 289.1 288.3 289.6
0,288.7,288.3 289.1 288.7 289.2 288.7 288.7
2,288.3,288.3 288.2 288.7 288.2 288.2 288.7
4,288.2,288.2 288.2 288.7
6,288.1,287.8 288.1 288.1 288.2
8,288.2,287.8 287.8 288.2 288.2 288.2
10,287.8,287.8 287.3 288.2 229.5 287.7 287.8
12,287.8,62.7 287.8 288.1 228.6
14,287.7,62.5 229.9 288.1 287.7
16,63.0,63.0 62.5 61.6 61.7 288.1 63.2
18,63.0,61.2 63.0 61.9 61.3 288.6 63.3
20,61.7,60.8 61.2 62.0 61.7 62.0
22,61.0,60.7 61.5 60.7 62.7 61.0
24,61.1,60.6 60.7 61.4 60.7 61.1 62.1
26,60.7,61.0 60.2 60.1 60.7 60.6 61.1
28,60.7,60.1 60.7 60.5 60.1 61.0 60.7
30,60.2,60.1 60.5 60.3 60.1 60.1 60.2
32,60.1,60.1 60.1 59.9 60.0 60.4 59.8
34,60.0,60.0 59.9
36,60.6,60.6 60.6
